date,origin
12/28/2015,chicago
12/21/2015,iraq
12/21/2015,iraq
12/21/2015,iraq
12/21/2015,iraq
12/21/2015,iraq
12/21/2015,iraq
10/11/2015,iraq
10/11/2015,iraq
10/2/2015,iraq
10/2/2015,iraq
10/2/2015,iraq
10/2/2015,iraq
10/2/2015,iraq
10/1/2015,iraq
9/21/2015,iraq
8/26/2015,iraq
8/26/2015,iraq
8/8/2015,iraq
6/29/2015,iraq
6/8/2015,iraq
5/24/2015,iraq
4/8/2015,iraq
