ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
21756,HY146134,02/09/2015 09:56:00 PM,051XX W CRYSTAL ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2533,025,37,25,01A,1141855,1907837,2015,08/17/2015 03:03:40 PM,41.903170357,-87.754381974,"(41.903170357, -87.754381974)"
21760,HK649858,02/10/2015 12:00:00 AM,025XX N LONG AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2515,025,30,19,01A,1139955,1916293,2015,08/17/2015 03:03:40 PM,41.926409544,-87.761153938,"(41.926409544, -87.761153938)"
21758,HY147395,02/10/2015 10:25:00 PM,016XX N KEELER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,2534,025,30,23,01A,1148137,1910551,2015,08/17/2015 03:03:40 PM,41.910499189,-87.731236702,"(41.910499189, -87.731236702)"
21759,HY152127,02/15/2015 04:21:00 AM,014XX W 71ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0734,007,17,67,01A,1168131,1857668,2015,08/17/2015 03:03:40 PM,41.764974559,-87.659310823,"(41.764974559, -87.659310823)"
21761,HY157257,02/20/2015 03:17:00 AM,020XX W FULLERTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1432,014,32,22,01A,1162162,1915940,2015,08/17/2015 03:03:40 PM,41.92500526,-87.679563115,"(41.92500526, -87.679563115)"
21762,HY158116,02/20/2015 06:41:00 PM,056XX S GREEN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0712,007,20,68,01A,1171599,1867542,2015,08/17/2015 03:03:40 PM,41.791994694,-87.646310475,"(41.791994694, -87.646310475)"
21763,HY159217,02/21/2015 05:44:00 PM,013XX W LELAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1913,019,46,3,01A,1166511,1931331,2015,08/17/2015 03:03:40 PM,41.967146776,-87.663140769,"(41.967146776, -87.663140769)"
21764,HY160139,02/22/2015 03:20:00 PM,020XX W 69TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0735,007,17,67,01A,1164023,1858896,2015,08/17/2015 03:03:40 PM,41.768431709,-87.674333391,"(41.768431709, -87.674333391)"
21765,HY163030,02/25/2015 06:37:00 AM,071XX N CLARK ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,2423,024,49,1,01A,1163291,1947613,2015,08/17/2015 03:03:40 PM,42.011893605,-87.674519739,"(42.011893605, -87.674519739)"
21768,HY163571,02/25/2015 03:09:00 PM,046XX W MAYPOLE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1113,011,28,25,01A,1145420,1901057,2015,08/17/2015 03:03:40 PM,41.884498505,-87.741458652,"(41.884498505, -87.741458652)"
21767,HY163914,02/25/2015 07:45:00 PM,114XX S PRAIRIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,GANGWAY,false,false,0531,005,9,49,01A,1179956,1829174,2015,08/17/2015 03:03:40 PM,41.686521024,-87.61683831,"(41.686521024, -87.61683831)"
21769,HY169646,03/02/2015 07:20:00 PM,105XX S YATES AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0434,004,10,51,01A,1194209,1835537,2015,08/17/2015 03:03:40 PM,41.703644635,-87.564453394,"(41.703644635, -87.564453394)"
21772,HY174696,03/07/2015 01:52:00 AM,010XX W 18TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1235,012,25,31,01A,1169618,1891581,2015,08/17/2015 03:03:40 PM,41.858003291,-87.652876321,"(41.858003291, -87.652876321)"
